000410,ss_ramt
0004e2,ss_init
00063e,ss_list
00063e,ss_ext
0006a8,ss_int2
0006a8,ss_intrd
0006ee,ss_noer
0006f0,ss_rte
000738,ss_jobx
00073c,ss_joby
000760,ss_joba
000784,ss_jobc
00078e,ss_wser
0007ce,ss_rser
0007e2,ss_jtag
0007e6,ss_tag
000812,ss_tlist
00083e,ss_reshd
000868,ss_dljob
00091c,ss_rj0
00093c,io_chanx
000976,io_fdriv
0009dc,io_fopen
000a4e,io_relch
000ae6,io_name
000b78,io_qset
000b82,io_qsetl
000b94,io_qtest
000bc8,io_qin
000be8,io_qout
000c04,io_qeof
000c08,io_jbchk
000c22,io_sched
000ca8,io_serio
000caa,io_relio
000d7a,io_trap2
000e60,io_trap3
000f28,io_trap4
000f42,ip_poll
000f4e,ip_ipcr
000fae,ip_setad
000fba,ip_adcmd
000fbe,ip_rdwr
001034,ip_sched
001046,ip_txqo
0010da,ip_kbrd
0010ee,ip_kbend
0011e6,ip_dspm
001204,mt_trap
001276,mt_inf
00128a,mt_extop
001292,mt_cjob
0012f4,mt_cj0
00131a,mt_jinf
00137a,mt_rjob
00138e,mt_frjob
001462,mt_close
00149e,mt_free
0014c2,mt_trapv
0014d6,mt_prior
0014e6,mt_activ
00151c,mt_susjb
00152a,mt_reljb
001546,mt_alloc
001554,mt_lnkfr
00156c,mt_alchp
001594,mt_rechp
00159e,mt_alres
0015c8,mt_reres
0015f6,mt_rebas
00162a,mt_albas
0016de,mt_dmode
0017d4,mt_ipcom
001880,mt_baud
001910,mt_rclck
001910,mt_aclck
001910,mt_sclck
00194e,mt_lschd
00194e,mt_ldd
00194e,mt_lpoll
00194e,mt_liod
00194e,mt_lxint
00195a,mt_riod
00195a,mt_rschd
00195a,mt_rpoll
00195a,mt_rdd
00195a,mt_rxint
001968,mt_cntry
0019ea,bp_block
0019ec,bp_bordr
0019ee,bp_windw
001a1e,bp_recol
001a3c,bp_width
001a48,bp_paper
001a4a,bp_ink
001a4c,bp_strip
001a7c,bp_over
001a7e,bp_under
001a80,bp_flash
001a9e,bp_fill
001aae,bp_csize
001ab0,bp_at
001ac2,bp_cursr
001ace,bp_cls
001ad0,bp_pan
001ad2,bp_scrol
001af6,bp_move
001af8,bp_turn
001afa,bp_turno
001b2c,bp_pendn
001b2e,bp_penup
001b6c,bp_repot
001b8a,bp_mode
001bac,bp_net
001bbe,bp_call
001be4,bp_rande
001c14,bp_baud
001c20,bp_tra
001c48,bp_print
001c4a,bp_input
001ede,bp_rdbuf
001f5e,bp_pokel
001f60,bp_pokew
001f62,bp_poke
001f66,bp_pepo
002034,bp_gcur
002056,bp_scale
002068,bp_poinr
00206a,bp_point
00206e,bp_liner
002070,bp_line
00207c,bp_arcr
00207e,bp_arc
00208a,bp_circr
00208a,bp_ellir
00208c,bp_circe
00208c,bp_ellie
002114,bp_execw
002116,bp_exec
00221e,bp_lbyts
00226c,bp_sexec
00226e,bp_sbyts
002294,bp_delee
0022a0,bp_save
002312,bp_fopin
00233e,bp_dir
00238a,bp_formt
0023d2,bp_copyn
0023d4,bp_copy
002442,bp_close
002484,bp_openw
002486,bp_openn
002488,bp_open
0024d6,bp_chnew
002502,bp_chan
002504,bp_chand
00252c,bp_chnid
00254a,bp_beep
0025c8,bp_init0
0025cc,bp_init
002adc,bp_rdchk
002b14,bp_read
002b5a,bp_arset
002b7a,bp_arnxt
002ba6,bp_arend
002c12,bp_arind
002c52,bp_retry
